Prediction Image,Ground Truth Image,IoU
PE4_68_4b,PE4-68 4b.tif,0.790662658391295
PE4_68_5a,PE4-68 5a.tif,0.8650593395264565
PE4_68_5b,PE4-68 5b.tif,0.8343304637794262
PE4_68_5c,PE4-68 5c.tif,0.8231553850503894
PE4_68_6a,PE4-68 6a.tif,0.7354726956194523
PE4_68_6b,PE4-68 6b.tif,0.8151662166476407
PE4_68_6c,PE4-68 6c.tif,0.7833365109434866
PE4_68_7b,PE4-68 7b.tif,0.8170236488148266
PE4_68_8b,PE4-68 8b.tif,0.7037827305365735
PE4_68_8c,PE4-68 8c.tif,0.8171613918482393
PE4_68_9a,PE4-68 9a.tif,0.7861798384623249
PE4_68_9b,PE4-68 9b.tif,0.8498432374722827
PE4_68_9c,PE4-68 9c.tif,0.8501857431129931
PE4_68_10a,PE4_68_10a.tif,0.8018603269254827
PE4_68_2a,PE4_68_2a.tif,0.843595891395772
PE4_68_4c,PE4_68_4c.tif,0.9017946829906255
PE4_68_7a,PE4_68_7a.tif,0.8459530045492879
PE4_68_7c,PE4_68_7c.tif,0.8732760723197112
PE4_68_8a,PE4_68_8a.tif,0.8746528335800073
PE_19_66_2a,PE_19_66_2a.tif,0.9105369972029362
PE_19_66_4a,PE_19_66_4a.tif,0.9063547511610045
PE_19_66_6a,PE_19_66_6a.tif,0.854452391996029
PE_19_66_9a,PE_19_66_9a.tif,0.8628619627985441
